"strain","wbid"
"CHS 1143","WBGene00020060"
"CHS 1143","WBGene00022807"
"CHS 1143","WBGene00043059"
"CHS 1144","WBGene00013496"
"CHS 1144","WBGene00014998"
"CHS 1144","WBGene00015000"
"CHS 1144","WBGene00015263"
"CHS 1144","WBGene00015921"
"CHS 1145","WBGene00015446"
"CHS 1145","WBGene00015447"
"CHS 1145","WBGene00015448"
"CHS 1145","WBGene00016363"
"CHS 1145","WBGene00019091"
"CHS 1145","WBGene00019518"
"CHS 1145","WBGene00021488"
"CHS 1145","WBGene00021511"
"CHS 1146","WBGene00005939"
"CHS 1146","WBGene00005941"
"CHS 1146","WBGene00005942"
"CHS 1146","WBGene00005945"
"CHS 1146","WBGene00005946"
"CHS 1146","WBGene00005950"
"CHS 1146","WBGene00005955"
"CHS 1147","WBGene00005896"
"CHS 1147","WBGene00005897"
"CHS 1147","WBGene00005898"
"CHS 1147","WBGene00005899"
"CHS 1147","WBGene00005900"
"CHS 1147","WBGene00005901"
"CHS 1148","WBGene00007595"
"CHS 1148","WBGene00009558"
"CHS 1148","WBGene00011441"
"CHS 1148","WBGene00021362"
"CHS 1149","WBGene00005227"
"CHS 1149","WBGene00005228"
"CHS 1149","WBGene00005229"
"CHS 1149","WBGene00005230"
"CHS 1149","WBGene00005231"
"CHS 1149","WBGene00005233"
"CHS 1149","WBGene00005234"
"CHS 1150","WBGene00005342"
"CHS 1150","WBGene00005475"
"CHS 1150","WBGene00005476"
"CHS 1150","WBGene00005477"
"CHS 1150","WBGene00005478"
"CHS 1150","WBGene00005479"
"CHS 1151","WBGene00005479"
"CHS 1151","WBGene00005480"
"CHS 1151","WBGene00005481"
"CHS 1151","WBGene00005482"
"CHS 1151","WBGene00005484"
"CHS 1151","WBGene00005486"
"CHS 1151","WBGene00005487"
"CHS 1152","WBGene00010022"
"CHS 1152","WBGene00010023"
"CHS 1152","WBGene00017935"
"CHS 1152","WBGene00020749"
"CHS 1152","WBGene00020752"
"CHS 1152","WBGene00044092"
"CHS 1153","WBGene00008247"
"CHS 1153","WBGene00008248"
